STATE,"Sex, Race, and Hispanic-Origin",Total population,Total citizen population,Total registered,"Percent registered
(Total)",Margin of error 1,"Percent registered
(Citizen)",Margin of error 1,Total voted,"Percent voted
(Total)",Margin of error 1,"Percent voted
(Citizen)",Margin of error 1
TEXAS,White non-Hispanic alone,"9,492","9,345","6,686",70.4,1.6,71.5,1.6,"5,394",56.8,1.7,57.7,1.7
TEXAS,Black alone,"2,625","2,490","1,580",60.2,3.8,63.4,3.9,"1,203",45.8,3.9,48.3,4.0
TEXAS,Asian alone,"1,097",736,397,36.2,6.1,54.0,7.7,288,26.3,5.6,39.1,7.6
TEXAS,Hispanic (of any race),"7,658","5,594","2,843",37.1,2.9,50.8,3.5,"1,918",25.0,2.6,34.3,3.3
TEXAS,White alone or in combination,"16,991","14,838","9,496",55.9,1.3,64.0,1.3,"7,276",42.8,1.3,49.0,1.4
TEXAS,Black alone or in combination,"2,722","2,583","1,629",59.8,3.8,63.1,3.8,"1,231",45.2,3.8,47.6,4.0
TEXAS,Asian alone or in combination,"1,192",831,471,39.5,6.0,56.7,7.2,354,29.7,5.6,42.6,7.2
UTAH,Total,"2,247","2,109","1,443",64.2,2.2,68.4,2.2,"1,214",54.0,2.3,57.6,2.4
UTAH,Male,"1,109","1,040",691,62.3,3.2,66.4,3.2,568,51.2,3.3,54.6,3.4
UTAH,Female,"1,138","1,068",752,66.1,3.1,70.4,3.1,646,56.8,3.2,60.5,3.3
UTAH,White alone,"2,080","1,969","1,385",66.6,2.3,70.4,2.3,"1,171",56.3,2.4,59.5,2.4
UTAH,White non-Hispanic alone,"1,799","1,785","1,293",71.9,2.3,72.4,2.3,"1,092",60.7,2.5,61.2,2.5
UTAH,Black alone,31,29,8,B,B,B,B,5,B,B,B,B
UTAH,Asian alone,63,44,26,B,B,B,B,22,B,B,B,B
UTAH,Hispanic (of any race),291,189,96,32.8,9.5,50.5,12.6,82,28.3,9.1,43.6,12.4
UTAH,White alone or in combination,"2,091","1,979","1,392",66.6,2.3,70.3,2.3,"1,175",56.2,2.4,59.4,2.4
UTAH,Black alone or in combination,35,33,12,B,B,B,B,10,B,B,B,B
UTAH,Asian alone or in combination,67,48,26,B,B,B,B,22,B,B,B,B
VERMONT,Total,503,497,343,68.1,2.9,69.0,2.9,273,54.2,3.1,54.9,3.1
VERMONT,Male,247,243,168,68.2,4.1,69.1,4.1,132,53.6,4.4,54.3,4.4
VERMONT,Female,257,253,175,68.0,4.0,69.0,4.0,141,54.7,4.3,55.5,4.3
VERMONT,White alone,478,473,330,68.9,2.9,69.7,2.9,263,55.0,3.1,55.6,3.1
VERMONT,White non-Hispanic alone,472,466,323,68.6,2.9,69.4,2.9,258,54.6,3.2,55.3,3.2
VERMONT,Black alone,4,4,2,B,B,B,B,1,B,B,B,B
VERMONT,Asian alone,5,4,3,B,B,B,B,3,B,B,B,B
VERMONT,Hispanic (of any race),8,8,7,B,B,B,B,6,B,B,B,B
VERMONT,White alone or in combination,493,486,338,68.7,2.9,69.6,2.9,268,54.5,3.1,55.2,3.1
VERMONT,Black alone or in combination,7,7,3,B,B,B,B,2,B,B,B,B
VERMONT,Asian alone or in combination,8,7,5,B,B,B,B,3,B,B,B,B
VIRGINIA,Total,"6,386","5,773","4,159",65.1,2.0,72.0,2.0,"3,319",52.0,2.1,57.5,2.2
VIRGINIA,Male,"3,051","2,724","1,958",64.2,2.9,71.9,2.9,"1,578",51.7,3.0,57.9,3.2
VIRGINIA,Female,"3,335","3,049","2,201",66.0,2.8,72.2,2.7,"1,742",52.2,2.9,57.1,3.0
VIRGINIA,White alone,"4,496","4,094","3,065",68.2,2.3,74.9,2.3,"2,412",53.7,2.5,58.9,2.6
VIRGINIA,White non-Hispanic alone,"3,874","3,808","2,924",75.5,2.3,76.8,2.3,"2,314",59.7,2.6,60.8,2.7
VIRGINIA,Black alone,"1,198","1,130",754,63.0,5.7,66.8,5.7,637,53.2,5.9,56.4,6.0
VIRGINIA,Asian alone,510,368,226,44.3,9.3,61.4,10.8,169,33.2,8.8,46.0,11.0
VIRGINIA,Hispanic (of any race),669,324,159,23.8,8.7,49.0,14.6,112,16.8,7.6,34.6,13.9
VIRGINIA,White alone or in combination,"4,617","4,215","3,156",68.4,2.3,74.9,2.2,"2,490",53.9,2.5,59.1,2.5
VIRGINIA,Black alone or in combination,"1,258","1,190",786,62.5,5.5,66.1,5.6,664,52.8,5.7,55.8,5.8
VIRGINIA,Asian alone or in combination,587,445,286,48.7,8.7,64.3,9.6,224,38.2,8.5,50.4,10.0
WASHINGTON,Total,"5,775","5,228","3,852",66.7,2.1,73.7,2.0,"3,234",56.0,2.2,61.9,2.2
WASHINGTON,Male,"2,869","2,590","1,861",64.9,3.0,71.9,2.9,"1,541",53.7,3.1,59.5,3.2
WASHINGTON,Female,"2,906","2,638","1,991",68.5,2.9,75.5,2.8,"1,693",58.2,3.0,64.2,3.1
WASHINGTON,White alone,"4,663","4,314","3,219",69.0,2.3,74.6,2.2,"2,736",58.7,2.4,63.4,2.4
WASHINGTON,White non-Hispanic alone,"3,995","3,905","2,983",74.7,2.3,76.4,2.3,"2,558",64.0,2.5,65.5,2.5
WASHINGTON,Black alone,232,232,155,66.8,12.4,66.8,12.4,103,44.2,13.1,44.2,13.1
WASHINGTON,Asian alone,530,356,262,49.4,9.1,73.4,9.8,224,42.2,9.0,62.8,10.8
WASHINGTON,Hispanic (of any race),736,468,267,36.3,9.3,57.2,12.0,204,27.8,8.6,43.7,12.0
WASHINGTON,White alone or in combination,"4,792","4,434","3,321",69.3,2.2,74.9,2.2,"2,816",58.8,2.4,63.5,2.4
WASHINGTON,Black alone or in combination,255,255,175,68.4,11.7,68.4,11.7,117,45.7,12.6,45.7,12.6
WASHINGTON,Asian alone or in combination,559,386,287,51.4,8.9,74.5,9.3,237,42.4,8.8,61.6,10.4
WEST VIRGINIA,Total,"1,406","1,384",892,63.4,2.8,64.5,2.8,610,43.4,2.9,44.1,2.9
WEST VIRGINIA,Male,685,674,423,61.7,4.0,62.7,4.1,294,43.0,4.1,43.7,4.2
WEST VIRGINIA,Female,721,710,470,65.1,3.9,66.1,3.9,316,43.8,4.0,44.5,4.1
WEST VIRGINIA,White alone,"1,312","1,303",856,65.2,2.9,65.7,2.9,585,44.6,3.0,44.9,3.0
WEST VIRGINIA,White non-Hispanic alone,"1,291","1,286",847,65.6,2.9,65.9,2.9,582,45.1,3.0,45.2,3.0
WEST VIRGINIA,Black alone,49,47,19,B,B,B,B,12,B,B,B,B
WEST VIRGINIA,Asian alone,17,6,4,B,B,B,B,3,B,B,B,B
WEST VIRGINIA,Hispanic (of any race),24,20,10,B,B,B,B,4,B,B,B,B
WEST VIRGINIA,White alone or in combination,"1,334","1,324",867,65.0,2.8,65.5,2.8,594,44.5,3.0,44.8,3.0
WEST VIRGINIA,Black alone or in combination,64,63,29,B,B,B,B,19,B,B,B,B
WEST VIRGINIA,Asian alone or in combination,19,7,5,B,B,B,B,4,B,B,B,B
WISCONSIN,Total,"4,436","4,296","3,129",70.5,2.3,72.8,2.2,"2,776",62.6,2.4,64.6,2.4
WISCONSIN,Male,"2,186","2,105","1,519",69.5,3.3,72.2,3.2,"1,328",60.7,3.5,63.1,3.5
WISCONSIN,Female,"2,250","2,191","1,610",71.6,3.2,73.5,3.1,"1,448",64.4,3.3,66.1,3.4
WISCONSIN,White alone,"3,948","3,865","2,883",73.0,2.3,74.6,2.3,"2,574",65.2,2.5,66.6,2.5
WISCONSIN,White non-Hispanic alone,"3,782","3,759","2,815",74.5,2.3,74.9,2.3,"2,514",66.5,2.5,66.9,2.5
WISCONSIN,Black alone,264,239,137,51.7,12.3,57.1,12.8,110,41.7,12.2,46.0,12.9
WISCONSIN,Asian alone,89,79,52,58.6,21.8,66.0,22.3,52,58.6,21.8,66.0,22.3
WISCONSIN,Hispanic (of any race),232,142,91,39.3,16.7,64.2,21.0,84,36.3,16.4,59.4,21.5
WISCONSIN,White alone or in combination,"4,015","3,932","2,923",72.8,2.3,74.4,2.3,"2,599",64.7,2.5,66.1,2.5
WISCONSIN,Black alone or in combination,313,266,159,50.7,11.3,59.6,12.1,123,39.1,11.1,46.1,12.3
WISCONSIN,Asian alone or in combination,94,84,57,60.5,21.1,67.8,21.4,57,60.5,21.1,67.8,21.4
WYOMING,Total,430,422,268,62.4,2.9,63.5,2.9,220,51.2,3.0,52.1,3.0
WYOMING,Male,216,212,134,61.8,4.1,62.9,4.1,107,49.7,4.2,50.6,4.2
WYOMING,Female,214,210,135,62.9,4.1,64.1,4.1,113,52.7,4.2,53.6,4.2
WYOMING,White alone,408,402,259,63.6,2.9,64.5,2.9,214,52.5,3.0,53.2,3.1
WYOMING,White non-Hispanic alone,369,368,244,66.0,3.0,66.3,3.0,202,54.7,3.2,54.9,3.2
WYOMING,Black alone,5,4,3,B,B,B,B,2,B,B,B,B
WYOMING,Asian alone,3,1,-,B,B,B,B,-,B,B,B,B
WYOMING,Hispanic (of any race),41,37,16,B,B,B,B,13,B,B,B,B
WYOMING,White alone or in combination,410,405,261,63.6,2.9,64.4,2.9,216,52.5,3.0,53.2,3.0
WYOMING,Black alone or in combination,6,5,3,B,B,B,B,2,B,B,B,B
WYOMING,Asian alone or in combination,3,1,-,B,B,B,B,-,B,B,B,B
